2024-09-25T07:28:42.625Z - Temperature: 32.80, Humidity: 69.10, Heat Index: 42.46
2024-09-25T07:28:47.357Z - Temperature: 32.80, Humidity: 69.10, Heat Index: 42.46
2024-09-25T07:28:52.396Z - Temperature: 32.70, Humidity: 69.10, Heat Index: 42.16
2024-09-25T07:28:57.345Z - Temperature: 32.70, Humidity: 69.10, Heat Index: 42.16
2024-09-25T07:29:02.351Z - Temperature: 32.60, Humidity: 69.10, Heat Index: 41.85
2024-09-25T07:29:07.344Z - Temperature: 32.60, Humidity: 69.10, Heat Index: 41.85
2024-09-25T07:29:12.346Z - Temperature: 32.60, Humidity: 69.10, Heat Index: 41.85
2024-09-25T07:29:17.405Z - Temperature: 32.50, Humidity: 69.10, Heat Index: 41.55
2024-09-25T07:29:22.409Z - Temperature: 32.50, Humidity: 69.10, Heat Index: 41.55
2024-09-25T07:29:27.429Z - Temperature: 32.50, Humidity: 69.10, Heat Index: 41.55
2024-09-25T07:29:32.525Z - Temperature: 32.40, Humidity: 69.10, Heat Index: 41.25
2024-09-25T07:29:37.534Z - Temperature: 32.50, Humidity: 69.10, Heat Index: 41.55
2024-09-25T07:31:23.745Z - Temperature: 32.20, Humidity: 69.10, Heat Index: 40.66
2024-09-25T07:31:28.648Z - Temperature: 32.00, Humidity: 69.10, Heat Index: 40.08
2024-09-25T07:31:33.637Z - Temperature: 32.10, Humidity: 69.10, Heat Index: 40.37
2024-09-25T07:31:38.697Z - Temperature: 32.00, Humidity: 69.10, Heat Index: 40.08
2024-09-25T07:31:43.702Z - Temperature: 32.10, Humidity: 69.10, Heat Index: 40.37
2024-09-25T07:31:48.648Z - Temperature: 32.00, Humidity: 69.10, Heat Index: 40.08
2024-09-25T07:31:53.700Z - Temperature: 32.10, Humidity: 69.10, Heat Index: 40.37
2024-09-25T07:31:58.653Z - Temperature: 32.00, Humidity: 69.10, Heat Index: 40.08
2024-09-25T07:32:03.670Z - Temperature: 32.10, Humidity: 69.10, Heat Index: 40.37
2024-09-25T07:32:08.648Z - Temperature: 32.00, Humidity: 69.10, Heat Index: 40.08
2024-09-25T07:32:13.636Z - Temperature: 32.00, Humidity: 69.10, Heat Index: 40.08
2024-09-25T07:32:18.631Z - Temperature: 32.00, Humidity: 69.10, Heat Index: 40.08
2024-09-25T07:32:23.638Z - Temperature: 32.00, Humidity: 69.10, Heat Index: 40.08
2024-09-25T07:32:28.629Z - Temperature: 32.00, Humidity: 69.10, Heat Index: 40.08
2024-09-25T07:32:33.682Z - Temperature: 32.00, Humidity: 69.10, Heat Index: 40.08
2024-09-25T07:32:38.739Z - Temperature: 31.90, Humidity: 69.10, Heat Index: 39.80
2024-09-25T07:32:43.634Z - Temperature: 31.90, Humidity: 69.10, Heat Index: 39.80
2024-09-25T07:32:48.821Z - Temperature: 32.00, Humidity: 69.10, Heat Index: 40.08
2024-09-25T07:32:53.633Z - Temperature: 32.00, Humidity: 69.10, Heat Index: 40.08
2024-09-25T07:32:58.633Z - Temperature: 31.90, Humidity: 69.10, Heat Index: 39.80
2024-09-25T07:33:03.693Z - Temperature: 31.90, Humidity: 69.10, Heat Index: 39.80
2024-09-25T07:33:08.706Z - Temperature: 31.90, Humidity: 69.10, Heat Index: 39.80
